0,v_0 (V):,v_1 (V):,v_2 (V):,v_3 (V):,v_4 (V):,v_5 (V):,v_6 (V):,i_0 (A):,i_1 (A):,i_2 (A):,i_3 (A):,i_4 (A):,i_5 (A):,i_6 (A):,tq_0 (Nm):,tq_1 (Nm):,tq_2 (Nm):,tq_3 (Nm):,tq_4 (Nm):,tq_5 (Nm):,tq_6 (Nm):,pos_0 (m or rad):,pos_1 (m or rad):,pos_2 (m or rad):,pos_3 (m or rad):,pos_4 (m or rad):,pos_5 (m or rad):,pos_6 (m or rad):,pos_ref_0 (m or rad):,pos_ref_1 (m or rad):,pos_ref_2 (m or rad):,pos_ref_3 (m or rad):,pos_ref_4 (m or rad):,pos_ref_5 (m or rad):,pos_ref_6 (m or rad):,vel_0 (m/s or rad/s):,vel_1 (m/s or rad/s):,vel_2 (m/s or rad/s):,vel_3 (m/s or rad/s):,vel_4 (m/s or rad/s):,vel_5 (m/s or rad/s):,vel_6 (m/s or rad/s):,vel_ref_0 (m/s or rad/s),vel_ref_1 (m/s or rad/s),vel_ref_2 (m/s or rad/s),vel_ref_3 (m/s or rad/s),vel_ref_4 (m/s or rad/s),vel_ref_5 (m/s or rad/s),vel_ref_6 (m/s or rad/s),
0.4,-0.000735296745266,0.00961684645539,-2.70916101111,-0.940957830154,0.0161368766661,0.0153309226086,0.0156766502144,-0.0369018794679,0.198097805919,-54.4758436378,-18.8197356583,0.322906741595,0.3107852988,0.315329176289,-0.0112555300451,0.0594773490824,-16.3451916198,-5.64592552295,0.0968734325475,0.093270313362,0.0946137209866,3.45706303051E-6,0.0000219345092773,-0.000105604223791,0.0000109672546387,-3.78742072371E-7,9.53674316406E-7,-1.68603742168E-6,0,0,0,0,0,0,0,0.00948355160654,0.000400958175305,-0.0907765924931,-0.000357294076821,-0.000240630935878,0.000135047710501,-0.000214799772948,0,0,0,0,0,0,0,
0.44,-0.000871827421461,0.00965828360444,-2.70903340633,-0.940963027679,0.0160539244944,0.0153110861828,0.0157228846798,-0.0289688862997,0.191825160776,-53.8702978304,-18.8165529474,0.319783069197,0.310898729932,0.317848621511,-0.00878676870549,0.0575363773051,-16.15850293,-5.64494332083,0.0959241255866,0.0933085940318,0.0953828441859,1.37090705721E-6,0.0000185966491699,-0.000111290384666,0.0000123977661133,4.29153442383E-6,5.24520874023E-6,-6.78377364238E-6,0,0,0,0,0,0,0,-0.00190896575805,9.96446760837E-6,0.073248885572,0.0000169412815012,0.0000400742283091,-0.000235661398619,0.000338431098498,0,0,0,0,0,0,0,
0.48,-0.000772268898844,0.00964002074128,-2.71168326976,-0.940891454421,0.0160428141886,0.0152517676403,0.015714451371,-0.047642324419,0.193135332124,-54.2948290089,-18.8169084362,0.323886554109,0.306566970987,0.317510782337,-0.0145610052127,0.0579433906147,-16.2889583994,-5.64506485877,0.0971912184857,0.0919828547811,0.0952800826586,5.18559227203E-6,0.000025749206543,-0.0000370520465367,8.10623168945E-6,2.86102294922E-6,0.0000119209289551,-3.91215598938E-6,0,0,0,0,0,0,0,-0.000443825265393,-0.000270274671493,-0.0366334468126,-0.0000867255730554,-0.000692974077538,0.000421353819547,0.0000536966545042,0,0,0,0,0,0,0,
0.52,-0.000879431982206,0.00945610464936,-2.7119702668,-0.940884921752,0.0160416697794,0.0152385115673,0.0158076430143,-0.043405116548,0.199338022231,-54.174102368,-18.816605307,0.322531592919,0.302114989882,0.315365353241,-0.0132366722719,0.059886539413,-16.2482047616,-5.64497248271,0.0967736295202,0.0906123699524,0.0946030434136,3.21866605191E-6,0.0000696182250977,0.000030517578125,7.62939453125E-6,4.76837158203E-6,0.0000114440917969,-9.80493041425E-6,0,0,0,0,0,0,0,0.000313747732434,0.000648447545245,0.0850644186139,0.0000654285540804,-0.0000305123394355,-0.00117148621939,-0.000360609323252,0,0,0,0,0,0,0,
0.56,-0.00108276803198,0.00961250723725,-2.71230954741,-0.940983913146,0.0159919356638,0.0152243495037,0.0158874071112,-0.0427997521428,0.190637996381,-54.2556960571,-18.8076619218,0.317987303136,0.299506764958,0.321722886809,-0.0130161289054,0.0571779643446,-16.2767880264,-5.64219844037,0.0953807625231,0.0898105276114,0.0965499889143,6.73532258588E-6,0.0000247955322266,0.0000548362731934,0.0000128746032715,6.67572021484E-6,0.0000133514404297,0.0000109672546387,0,0,0,0,0,0,0,0.00454000150785,-0.000361673097359,0.0502850264311,0.0000249648001045,0.0000323221320286,-0.000658757053316,-9.82498750091E-6,0,0,0,0,0,0,0,
0.6,-0.000852955731123,0.00897535742646,-2.7134471855,-0.941037509643,0.0160090064341,0.0151615023662,0.0154169036436,0.00719236596436,0.180936800859,-54.3306534549,-18.8292825295,0.322734355813,0.296535085986,0.308151490659,0.00235980546086,0.054292954027,-16.2997102843,-5.64885586167,0.0968415919701,0.0889047344512,0.092443892346,3.39747816724E-6,0.0000271797180176,0.0000820159912109,0.0000157356262207,3.33786010742E-6,0.0000114440917969,0.0000100135803223,0,0,0,0,0,0,0,-0.00612054299563,-0.00047710922081,-0.0662036165595,-0.000305708206724,-0.0000225391704589,0.000639398698695,-0.000293635064736,0,0,0,0,0,0,0,
0.64,-0.000778914825365,0.00969900549775,-2.71510996436,-0.941140029632,0.0160265063578,0.0151471972515,0.0154896213102,-0.0444321907187,0.201044720209,-53.9583693722,-18.8226076156,0.322557012437,0.300144897174,0.308588147185,-0.013570106334,0.0603722878148,-16.1846455624,-5.64678067652,0.0967839944419,0.0900201437535,0.0925664084972,7.39096094549E-6,0.000023365020752,0.000123977661133,0.0000228881835938,1.43051147461E-6,7.15255737305E-6,7.62939453125E-6,0,0,0,0,0,0,0,0.00359201431274,0.0000233699174714,0.0345180481672,-0.000191716564586,-0.000167967082234,-0.00195844192058,0.000340099999448,0,0,0,0,0,0,0,
0.68,-0.000793136637746,0.00915069044953,-2.71444525336,-0.94123534938,0.0160162994113,0.0153458952953,0.0155635787534,-0.0661217249948,0.179095049582,-54.3703312406,-18.8243364261,0.320429873533,0.322467520932,0.312295125587,-0.0202553424338,0.0536958585463,-16.3117785002,-5.64729783982,0.0961298277708,0.0968698364048,0.0936970672636,2.5033541533E-6,0.0000591278076172,0.000123977661133,0.000025749206543,3.81469726563E-6,-2.82534688267E-6,3.81469726563E-6,0,0,0,0,0,0,0,0.00160863716155,-0.0000518864835612,-0.00926580000669,0.000613891403191,0.000279146770481,0.00100734026637,0.000152239343151,0,0,0,0,0,0,0,
0.72,-0.000684191642897,0.00950736464387,-2.71481647109,-0.941264531814,0.0161091504325,0.015495638909,0.0156005813169,0.0174977158642,0.18827712823,-54.1951152028,-18.8212042748,0.343353646686,0.307045975209,0.320262917805,0.0055091609986,0.0564675537635,-16.257691109,-5.64632722942,0.103182515989,0.092089902538,0.0961476361038,-0.0000101328087112,0.0000271797180176,0.000144958496094,0.0000271797180176,2.86102294922E-6,-7.81389917393E-6,4.29153442383E-6,0,0,0,0,0,0,0,0.00363317225128,-0.000196666354896,0.0148984845728,-0.000103656500869,0.0104432012886,0.000249994918704,8.90344381332E-7,0,0,0,0,0,0,0,
0.76,-0.000641324005475,0.00950283469086,-2.71413068388,-0.941303823196,0.0161000668175,0.0154200606281,0.0155510379362,-0.0200788561704,0.188322794643,-54.3065922994,-18.8245751484,0.321174729822,0.304863507394,0.310118795395,-0.00608409331831,0.056482389233,-16.2921775117,-5.64736003356,0.096345530559,0.0914295713419,0.0930281222573,-1.43054796808E-6,0.0000200271606445,0.000118255615234,0.0000295639038086,-2.1955597731E-6,-3.8492917156E-6,0.0000138282775879,0,0,0,0,0,0,0,-0.00353819411248,-0.000158150389325,0.0335816293955,0.0000448554055765,-1.40999327414E-6,-0.0000233744794969,-0.0000397014955524,0,0,0,0,0,0,0,
